alpha,I
5.459,0.4
5.454,0.4
5.449,0.4
5.443,0.3
5.438,0.3
5.433,0.3
5.428,0.2
5.422,0.1
5.417,0.1
5.412,0.1
5.406,0.1
5.401,0.1
5.396,0.1
5.39,0.1
5.385,0.1
5.38,0.1
5.375,0.1
5.369,0.1
5.364,0
5.359,0
5.353,0
5.348,0
5.343,0
5.337,0
5.332,0
5.327,0
5.322,0
5.316,0
5.311,0
5.306,0
5.3,0
5.295,0
5.29,0
5.284,0
5.279,0
5.274,0
5.269,0
5.263,0
5.258,0
5.253,0
5.247,0
5.242,0
5.237,0
5.231,0
5.226,0
5.221,0
5.216,0
5.21,0
5.205,0
5.2,0
5.194,0
5.189,0
5.184,0
5.178,0
5.173,0
5.168,0
5.162,0
5.157,0.1
5.152,0.1
5.147,0.1
5.141,0.1
5.136,0.1
5.131,0.1
5.125,0.1
5.12,0.1
5.115,0.1
5.109,0.1
5.104,0.1
5.099,0.1
5.094,0.1
5.088,0.1
5.083,0.3
5.078,0.3
5.072,0.3
5.067,0.3
5.062,0.3
5.056,0.3
5.051,0.3
5.046,0.3
5.04,0.3
5.035,0.3
5.03,0.3
5.025,0.3
5.019,0.3
5.014,0.3
5.009,0.4
5.003,0.4
4.998,0.4
4.993,0.4
4.987,0.4
4.982,0.4
4.977,0.4
4.971,0.4
4.966,0.4
4.961,0.4
4.956,0.4
4.95,0.4
4.945,0.4
4.94,0.4
4.934,0.4
4.929,0.4
4.924,0.4
4.918,0.4
4.913,0.4
4.908,0.4
4.902,0.4
4.897,0.4
4.892,0.4
4.887,0.4
4.881,0.4
4.876,0.4
4.871,0.4
4.865,0.4
4.86,0.4
4.855,0.4
4.849,0.4
4.844,0.4
4.839,0.4
4.833,0.4
4.828,0.4
4.823,0.4
4.818,0.4
4.812,0.4
4.807,0.4
4.802,0.4
4.796,0.4
4.791,0.4
4.786,0.4
4.78,0.4
4.775,0.4
4.77,0.4
4.764,0.4
4.759,0.4
4.754,0.6
4.748,0.7
4.743,0.7
4.738,0.7
4.733,0.7
4.727,0.5
4.722,0.4
4.717,0.4
4.711,0.4
4.706,0.4
4.701,0.4
4.695,0.4
4.69,0.4
4.685,0.4
4.679,0.6
4.674,0.8
4.669,0.8
4.663,0.8
4.658,0.8
4.653,0.8
4.648,0.8
4.642,0.8
4.637,0.8
4.632,0.5
4.626,0.4
4.621,0.4
4.616,0.4
4.61,0.4
4.605,0.4
4.6,0.4
4.594,0.4
4.589,0.7
4.584,0.8
4.578,0.8
4.573,0.8
4.568,0.8
4.563,0.8
4.557,0.8
4.552,0.8
4.547,0.6
4.541,0.4
4.536,0.4
4.531,0.4
4.525,0.4
4.52,0.4
4.515,0.4
4.509,0.4
4.504,0.4
4.499,0.8
4.493,0.8
4.488,0.8
4.483,0.8
4.478,0.8
4.472,0.8
4.467,0.8
4.462,0.8
4.456,0.7
4.451,0.5
4.446,0.5
4.44,0.4
4.435,0.4
4.43,0.4
4.424,0.4
4.419,0.4
4.414,0.5
4.408,0.8
4.403,0.8
4.398,0.8
4.392,0.9
4.387,0.9
4.382,0.9
4.377,0.8
4.371,0.8
4.366,0.8
4.361,0.8
4.355,0.6
4.35,0.6
4.345,0.4
4.339,0.4
4.334,0.4
4.329,0.4
4.323,0.4
4.318,0.8
4.313,0.8
4.307,1.2
4.302,1.2
4.297,1.2
4.291,1.2
4.286,1.2
4.281,1
4.275,0.8
4.27,0.8
4.265,0.8
4.26,0.8
4.254,0.8
4.249,0.7
4.244,0.7
4.238,0.7
4.233,0.7
4.228,0.8
4.222,0.8
4.217,1
4.212,1.2
4.206,1.2
4.201,1.2
4.196,1.2
4.19,1.2
4.185,1.2
4.18,1
4.174,0.8
4.169,0.8
4.164,0.8
4.158,0.8
4.153,0.8
4.148,0.8
4.143,0.8
4.137,0.8
4.132,0.8
4.127,0.8
4.121,1.1
4.116,1.2
4.111,1.5
4.105,1.6
4.1,1.6
4.095,1.6
4.089,1.3
4.084,1.2
4.079,1.2
4.073,0.9
4.068,0.8
4.063,0.8
4.057,0.8
4.052,0.8
4.047,0.8
4.041,0.8
4.036,0.8
4.031,0.8
4.025,0.9
4.02,1.2
4.015,1.3
